year_in_community,env_quality,val_fish_habitat,val_drinking_water,val_coastal_water,val_flood_protection,val_agriculture,val_outdoor_rec_summer,val_outdoor_rec_winter,val_fall_foliage,val_forest_climate_protection,val_forest_wood,val_forest_biodiversity,7a,7b,7c,7d,7e,7f,7g,7h,7i,7j,7k,7l,birth_year,gender,education,politics,race,adults_in_household,children_in_household,income
42,Good,Moderately Important,Important,Very Important,Very Important,Important,Moderately Important,Slight Importance,Moderately Important,Important,Very Important,Important,Neither Disagree nor Agree,Somewhat Disagree,Neither Disagree nor Agree,Somewhat Disagree,Neither Disagree nor Agree,Somewhat Disagree,Neither Disagree nor Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,1945,Male,High School (includes GED),Slightly Conservative,Prefer Not to Answer,2,0,"$75,001 to $100,000 per year"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Fair,Important,Very Important,Important,Important,Very Important,Important,Important,Important,Important,Important,Important,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Disagree nor Agree,Somewhat Agree,Neither Disagree nor Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,1953,Male,Some College or Associate’s or Technical Degree,Moderate,White,2,0,"$25,001 to $50,000 per year"
35,Good,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Moderately Important,Moderately Important,Very Important,Important,Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1946,Female,4-year College Degree (Bachelor’s),Slightly Liberal,White,1,0,"Less than $25,000 per year"
12,Good,Important,Very Important,Important,Important,Very Important,Very Important,Slight Importance,Slight Importance,Important,Important,Important,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Neither Disagree nor Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,1968,Female,4-year College Degree (Bachelor’s),Liberal,White,2,2,"$50,001 to $75,000 per year"
15,Very Good,Important,Very Important,Important,Moderately Important,Very Important,Important,Very Important,Important,Very Important,Important,Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Prefer Not to Answer,Strongly Disagree,Strongly Agree,Strongly Agree,1963,Female,4-year College Degree (Bachelor’s),Extremely Liberal,White,1,0,"$50,001 to $75,000 per year"
30,Good,Important,Very Important,Very Important,Very Important,Important,Very Important,Important,Very Important,Very Important,Moderately Important,Very Important,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Neither Disagree nor Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1952,Male,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Liberal,White,3,0,"$75,001 to $100,000 per year"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Good,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Important,Unimportant,Very Important,Slight Importance,Very Important,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1995,Male,High School (includes GED),Prefer Not to Answer,White,2,0,"Less than $25,000 per year"
19,Very Good,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Moderately Important,Very Important,Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Neither Disagree nor Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1994,Male,Some College or Associate’s or Technical Degree,Prefer Not to Answer,White,3,0,"More than $100,000 per year"
6,Very Good,Very Important,Very Important,Very Important,Very Important,Important,Moderately Important,Slight Importance,Moderately Important,Very Important,Important,Very Important,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Neither Disagree nor Agree,1960,Male,Some College or Associate’s or Technical Degree,Slightly Conservative,Other,2,0,"$50,001 to $75,000 per year"
1,Fair,Important,Very Important,Important,Very Important,Very Important,Important,Important,Important,Very Important,Important,Moderately Important,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,1966,Female,4-year College Degree (Bachelor’s),Moderate,White,2,0,"$50,001 to $75,000 per year"
18,Good,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Important,Very Important,Important,Very Important,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1968,Female,Some College or Associate’s or Technical Degree,Prefer Not to Answer,White,6,0,Prefer Not to Answer
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Good,Very Important,Very Important,Very Important,Important,Very Important,Important,Important,Important,Important,Important,Important,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1963,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Liberal,White,4,1,"More than $100,000 per year"
10,Good,Very Important,Very Important,Very Important,Important,Important,Very Important,Very Important,Important,Very Important,Moderately Important,Important,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1951,Male,4-year College Degree (Bachelor’s),Liberal,White,2,0,"More than $100,000 per year"
5,Very Good,Very Important,Very Important,Very Important,Important,Very Important,Important,Important,Moderately Important,Very Important,Moderately Important,Very Important,Strongly Agree,Neither Disagree nor Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,1969,Male,Some College or Associate’s or Technical Degree,Slightly Conservative,,,,
7,Very Good,Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Prefer Not to Answer,Neither Disagree nor Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,1942,Male,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Liberal,Asian,1,0,"$50,001 to $75,000 per year"
5,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Good,Important,Very Important,Very Important,Important,Important,Moderately Important,Moderately Important,Unimportant,Very Important,Very Important,Very Important,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Neither Disagree nor Agree,Strongly Agree,1964,Male,High School (includes GED),Conservative,White,2,0,"$50,001 to $75,000 per year"
10,Good,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Moderately Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1960,Female,4-year College Degree (Bachelor’s),Liberal,White,1,,"$50,001 to $75,000 per year"
38,Good,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,1952,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Slightly Conservative,White,2,0,"$50,001 to $75,000 per year"
38,Very Good,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1976,Female,Some College or Associate’s or Technical Degree,Conservative,White,2,4,"$50,001 to $75,000 per year"
18,Very Good,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1954,Male,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Conservative,White,1,0,Prefer Not to Answer
3,Very Good,Very Important,Very Important,Very Important,Moderately Important,Important,Important,Important,Important,Very Important,Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Disagree nor Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1982,Female,Some College or Associate’s or Technical Degree,Prefer Not to Answer,White,3,1,"$25,001 to $50,000 per year"
28,Very Good,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Moderately Important,Very Important,Important,Important,Moderately Important,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neither Disagree nor Agree,Somewhat Disagree,Somewhat Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Somewhat Agree,1949,Male,4-year College Degree (Bachelor’s),Moderate,White,2,0,"$75,001 to $100,000 per year"
10,Good,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,1970,Female,4-year College Degree (Bachelor’s),Slightly Liberal,White,2,,"Less than $25,000 per year"
12,Good,Very Important,Very Important,Very Important,Important,Very Important,Important,Moderately Important,Important,Very Important,Important,Very Important,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Neither Disagree nor Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,1957,Male,Some College or Associate’s or Technical Degree,Slightly Conservative,White,2,0,"$50,001 to $75,000 per year"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Good,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Neither Disagree nor Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,1960,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Conservative,White,3,1,"$50,001 to $75,000 per year"
2,Good,Very Important,Very Important,Important,Important,Important,Very Important,Very Important,Important,Important,Important,Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1988,Female,4-year College Degree (Bachelor’s),Moderate,White,3,0,"$25,001 to $50,000 per year"
2,Good,Important,Very Important,Moderately Important,Moderately Important,Moderately Important,Very Important,Important,Important,Important,Moderately Important,Moderately Important,Strongly Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Neither Disagree nor Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,1979,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Slightly Liberal,White,2,1,"$75,001 to $100,000 per year"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Good,Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Important,Very Important,Important,Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither Disagree nor Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1951,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Extremely Liberal,White,2,0,"$75,001 to $100,000 per year"
29,Very Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Good,Very Important,Important,Very Important,Important,Important,Moderately Important,Moderately Important,Important,Very Important,Moderately Important,Very Important,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1948,Male,High School (includes GED),Moderate,White,2,0,"Less than $25,000 per year"
32,Good,Very Important,Very Important,Very Important,Important,Very Important,Moderately Important,Moderately Important,Moderately Important,Very Important,Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1964,Female,High School (includes GED),Moderate,White,2,0,"Less than $25,000 per year"
10,Good,Moderately Important,Very Important,Moderately Important,Important,Moderately Important,Important,Important,Moderately Important,Very Important,Important,Very Important,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1951,Male,Some College or Associate’s or Technical Degree,Slightly Liberal,White,2,0,"$50,001 to $75,000 per year"
6,Very Good,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1964,Female,Some College or Associate’s or Technical Degree,Liberal,White,1,0,"$25,001 to $50,000 per year"
20,Very Good,Very Important,Very Important,Important,Moderately Important,Very Important,Very Important,Very Important,Important,Important,Important,Important,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neither Disagree nor Agree,Somewhat Agree,Neither Disagree nor Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,1947,Male,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Slightly Conservative,Prefer Not to Answer,3,0,Prefer Not to Answer
26,Very Good,Important,Very Important,Important,Moderately Important,Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Unimportant,Important,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Neither Disagree nor Agree,Somewhat Agree,Neither Disagree nor Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,1958,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Moderate,White,2,0,"$50,001 to $75,000 per year"
4,Good,Important,Very Important,Very Important,Moderately Important,Very Important,Very Important,Very Important,Moderately Important,Very Important,Moderately Important,Important,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Neither Disagree nor Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1982,Male,4-year College Degree (Bachelor’s),Prefer Not to Answer,White,2,,"$75,001 to $100,000 per year"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Good,Important,Very Important,Important,Very Important,Important,Important,Important,Very Important,Important,Very Important,Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1933,Male,4-year College Degree (Bachelor’s),Moderate,White,1,0,Prefer Not to Answer
15,Very Good,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Moderately Important,Very Important,Very Important,Very Important,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,1949,Male,4-year College Degree (Bachelor’s),Liberal,White,2,0,"$50,001 to $75,000 per year"
15,Fair,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Very Important,Important,Very Important,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Neither Disagree nor Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,1977,Male,4-year College Degree (Bachelor’s),Conservative,White,3,2,"More than $100,000 per year"
23,Very Good,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Disagree nor Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1954,Male,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Moderate,White,3,0,"More than $100,000 per year"
40,Very Good,Moderately Important,Very Important,Very Important,Important,Important,Very Important,Moderately Important,Moderately Important,Very Important,Slight Importance,Important,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Neither Disagree nor Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,1950,Female,4-year College Degree (Bachelor’s),Slightly Liberal,White,2,,"$25,001 to $50,000 per year"
5,Good,Very Important,Very Important,Very Important,Very Important,Very Important,Moderately Important,Moderately Important,Moderately Important,Very Important,Moderately Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1963,Female,4-year College Degree (Bachelor’s),Liberal,White,3,0,"$25,001 to $50,000 per year"
2,Very Good,Very Important,Very Important,Very Important,Important,Very Important,Important,Moderately Important,Important,Very Important,Moderately Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1954,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Liberal,White,2,,"More than $100,000 per year"
11,Good,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Important,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neither Disagree nor Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,1961,Male,4-year College Degree (Bachelor’s),Moderate,White,2,1,"More than $100,000 per year"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Very Good,Important,Very Important,Very Important,Important,Important,Important,Slight Importance,Moderately Important,Important,Important,Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Neither Disagree nor Agree,Somewhat Agree,Neither Disagree nor Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,1947,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Liberal,White,2,0,"More than $100,000 per year"
13,Good,Very Important,Very Important,Important,Important,Very Important,Very Important,Important,Moderately Important,Important,Moderately Important,Very Important,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1965,Male,4-year College Degree (Bachelor’s),Liberal,White,1,0,"Less than $25,000 per year"
30,Good,Moderately Important,Very Important,Very Important,Important,Very Important,Very Important,Moderately Important,Important,Important,Important,Very Important,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1951,Female,4-year College Degree (Bachelor’s),Liberal,White,2,0,"$25,001 to $50,000 per year"
21,Good,Very Important,Very Important,Very Important,Very Important,Important,Moderately Important,Slight Importance,Moderately Important,Very Important,Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,1955,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Liberal,White,2,0,"$25,001 to $50,000 per year"
50,Good,Moderately Important,Important,Slight Importance,Moderately Important,Important,Slight Importance,Slight Importance,Slight Importance,Moderately Important,Moderately Important,Moderately Important,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1961,Female,4-year College Degree (Bachelor’s),Slightly Liberal,White,2,0,"$25,001 to $50,000 per year"
0,Good,Very Important,Very Important,Very Important,Important,Very Important,Moderately Important,Moderately Important,Slight Importance,Important,Moderately Important,Very Important,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1997,Female,High School (includes GED),Moderate,Hispanic,3,1,"$25,001 to $50,000 per year"
48,Fair,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Moderately Important,Important,Very Important,Important,Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1938,Male,Some College or Associate’s or Technical Degree,Conservative,White,2,0,"More than $100,000 per year"
13,Good,Very Important,Very Important,Very Important,Very Important,Important,Important,Important,Important,Very Important,Moderately Important,Very Important,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1966,Female,High School (includes GED),Slightly Conservative,White,2,2,"$50,001 to $75,000 per year"
2,Good,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Prefer Not to Answer,1971,Female,Some College or Associate’s or Technical Degree,Moderate,White,2,2,"$75,001 to $100,000 per year"
1,Good,Important,Prefer Not to Answer,Very Important,Important,Very Important,Prefer Not to Answer,Moderately Important,Very Important,Very Important,Important,Important,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Disagree,1941,Male,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Slightly Conservative,White,1,0,"$25,001 to $50,000 per year"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Good,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Moderately Important,Very Important,Moderately Important,Very Important,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1969,Female,Some College or Associate’s or Technical Degree,Moderate,White,5,0,"$75,001 to $100,000 per year"
10,Poor,Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Moderately Important,Very Important,Very Important,Very Important,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1947,Male,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Conservative,White,2,0,"More than $100,000 per year"
23,Very Good,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Very Important,Very Important,Very Important,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Neither Disagree nor Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1952,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Slightly Liberal,White,2,0,"$50,001 to $75,000 per year"
2,Good,Very Important,Very Important,Very Important,Very Important,Important,Important,Moderately Important,Important,Very Important,Moderately Important,Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Prefer Not to Answer,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,1964,Female,4-year College Degree (Bachelor’s),Prefer Not to Answer,Other,1,0,"Less than $25,000 per year"
54,Good,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,1957,Male,4-year College Degree (Bachelor’s),Slightly Liberal,White,1,0,"$75,001 to $100,000 per year"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Very Good,Important,Very Important,Very Important,Very Important,Important,Very Important,Moderately Important,Very Important,Moderately Important,Moderately Important,Slight Importance,Neither Disagree nor Agree,Neither Disagree nor Agree,Somewhat Disagree,Strongly Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Somewhat Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Somewhat Disagree,Neither Disagree nor Agree,Strongly Agree,1964,Male,4-year College Degree (Bachelor’s),Conservative,White,3,1,"More than $100,000 per year"
